,date,close,balance_gbp,type,balance_xrp,total_gbp,buy_and_hold,returns,market_returns
0,2023-01-17,0.315,200.0,deposit,0.0,200.0,200.0,,
1,2023-01-18,0.30649,0.6816,buy,668.45817937,205.5573473951113,194.59682539682538,0.027786736975556448,-0.02701587301587305
2,2023-01-19,0.31729,0.6816,hold,668.45817937,212.77669573230733,201.45396825396827,0.03512084792240189,0.0352376912786716
3,2023-01-20,0.33315,0.6816,hold,668.45817937,223.3784424571155,211.52380952380952,0.04982569490667421,0.04998581739103014
4,2023-01-21,0.32558,0.6816,hold,668.45817937,218.3182140392846,206.7174603174603,-0.02265316367223913,-0.022722497373555472
5,2023-01-22,0.32246,0.6816,hold,668.45817937,216.23262451965024,204.73650793650796,-0.009552979941742645,-0.009582898212420754
6,2023-01-23,0.34273,0.6816,hold,668.45817937,229.7822718154801,217.6063492063492,0.06266236339650266,0.06286050983067648
7,2023-01-24,0.33056,0.6816,hold,668.45817937,221.64713577254722,209.8793650793651,-0.035403671391435965,-0.035509001254631745
8,2023-01-25,0.3362,0.6816,hold,668.45817937,225.41723990419402,213.46031746031744,0.017009487257781064,0.017061955469506174
9,2023-01-26,0.32995,0.6816,hold,668.45817937,221.23937628313152,209.49206349206352,-0.01853391347901412,-0.018590124925639273
10,2023-01-27,0.33311,0.6816,hold,668.45817937,223.3517041299407,211.4984126984127,0.00954770295548979,0.00957720866797973
11,2023-01-28,0.32928,0.6816,hold,668.45817937,220.7915093029536,209.0666666666667,-0.011462616042981377,-0.011497703461318953
12,2023-01-29,0.33336,0.6816,hold,668.45817937,223.5188186747832,211.65714285714284,0.012352419621749933,0.012390670553935612
13,2023-01-30,0.31887,0.6816,hold,668.45817937,213.8328596557119,202.45714285714286,-0.043333975530553626,-0.04346652267818574
14,2023-01-31,0.32986,0.6816,hold,668.45817937,221.17921504698822,209.43492063492062,0.03435559624982121,0.03446545614200125
15,2023-02-01,0.33413,0.6816,hold,668.45817937,224.0335314728981,212.14603174603172,0.012904993922252084,0.012944885709088583
16,2023-02-02,0.33491,0.6816,hold,668.45817937,224.5549288528067,212.64126984126983,0.002327318488802632,0.0023344207344446755
17,2023-02-03,0.34207,0.6816,hold,668.45817937,229.3410894170959,217.1873015873016,0.021313985797330126,0.021378877907497484
18,2023-02-04,0.34073,0.6816,hold,668.45817937,228.4453554567401,216.33650793650793,-0.0039056845968267195,-0.0039173268629228986
19,2023-02-05,0.33076,0.6816,hold,668.45817937,221.7808274084212,210.0063492063492,-0.02917340138079949,-0.029260704957004058
20,2023-02-06,0.32737,0.6816,hold,668.45817937,219.5147541803569,207.85396825396828,-0.010217624555486027,-0.010249123231345858
21,2023-02-07,0.33514,0.6816,hold,668.45817937,224.70867423406182,212.78730158730156,0.023660915518405323,0.023734612212481077
22,2023-02-08,0.32925,0.6816,hold,668.45817937,220.7714555575725,209.04761904761904,-0.017521436099027565,-0.01757474488273547
23,2023-02-09,0.31532,0.6816,hold,668.45817937,211.4598331189484,200.2031746031746,-0.0421776556897131,-0.042308276385725097
24,2023-02-10,0.31747,0.6816,hold,668.45817937,212.8970182045939,201.56825396825394,0.0067964921018217606,0.006818470125586673
